institution, ror, year, count, oa status 
"University College London",https://ror.org/02jx3x895,2000,4033,closed
"University College London",https://ror.org/02jx3x895,2000,1124,bronze
"University College London",https://ror.org/02jx3x895,2000,459,green
"University College London",https://ror.org/02jx3x895,2000,211,hybrid
"University College London",https://ror.org/02jx3x895,2000,68,gold
"University College London",https://ror.org/02jx3x895,2001,4383,closed
"University College London",https://ror.org/02jx3x895,2001,1324,bronze
"University College London",https://ror.org/02jx3x895,2001,462,green
"University College London",https://ror.org/02jx3x895,2001,214,hybrid
"University College London",https://ror.org/02jx3x895,2001,61,gold
"University College London",https://ror.org/02jx3x895,2002,4560,closed
"University College London",https://ror.org/02jx3x895,2002,1357,bronze
"University College London",https://ror.org/02jx3x895,2002,563,green
"University College London",https://ror.org/02jx3x895,2002,211,hybrid
"University College London",https://ror.org/02jx3x895,2002,65,gold
"University College London",https://ror.org/02jx3x895,2003,4646,closed
"University College London",https://ror.org/02jx3x895,2003,1331,bronze
"University College London",https://ror.org/02jx3x895,2003,627,green
"University College London",https://ror.org/02jx3x895,2003,246,hybrid
"University College London",https://ror.org/02jx3x895,2003,71,gold
"University College London",https://ror.org/02jx3x895,2004,4698,closed
"University College London",https://ror.org/02jx3x895,2004,1317,bronze
"University College London",https://ror.org/02jx3x895,2004,753,green
"University College London",https://ror.org/02jx3x895,2004,268,hybrid
"University College London",https://ror.org/02jx3x895,2004,145,gold
"University College London",https://ror.org/02jx3x895,2005,4963,closed
"University College London",https://ror.org/02jx3x895,2005,1418,bronze
"University College London",https://ror.org/02jx3x895,2005,841,green
"University College London",https://ror.org/02jx3x895,2005,274,hybrid
"University College London",https://ror.org/02jx3x895,2005,195,gold
"University College London",https://ror.org/02jx3x895,2006,5750,closed
"University College London",https://ror.org/02jx3x895,2006,1379,bronze
"University College London",https://ror.org/02jx3x895,2006,1154,green
"University College London",https://ror.org/02jx3x895,2006,320,hybrid
"University College London",https://ror.org/02jx3x895,2006,220,gold
"University College London",https://ror.org/02jx3x895,2007,5867,closed
"University College London",https://ror.org/02jx3x895,2007,1450,bronze
"University College London",https://ror.org/02jx3x895,2007,1241,green
"University College London",https://ror.org/02jx3x895,2007,424,hybrid
"University College London",https://ror.org/02jx3x895,2007,326,gold
"University College London",https://ror.org/02jx3x895,2008,5814,closed
"University College London",https://ror.org/02jx3x895,2008,1615,bronze
"University College London",https://ror.org/02jx3x895,2008,1215,green
"University College London",https://ror.org/02jx3x895,2008,514,hybrid
"University College London",https://ror.org/02jx3x895,2008,435,gold
"University College London",https://ror.org/02jx3x895,2009,6244,closed
"University College London",https://ror.org/02jx3x895,2009,1736,bronze
"University College London",https://ror.org/02jx3x895,2009,1439,green
"University College London",https://ror.org/02jx3x895,2009,631,hybrid
"University College London",https://ror.org/02jx3x895,2009,504,gold
"University College London",https://ror.org/02jx3x895,2010,6423,closed
"University College London",https://ror.org/02jx3x895,2010,2002,bronze
"University College London",https://ror.org/02jx3x895,2010,1552,green
"University College London",https://ror.org/02jx3x895,2010,848,gold
"University College London",https://ror.org/02jx3x895,2010,698,hybrid
"University College London",https://ror.org/02jx3x895,2011,6689,closed
"University College London",https://ror.org/02jx3x895,2011,2246,bronze
"University College London",https://ror.org/02jx3x895,2011,1445,green
"University College London",https://ror.org/02jx3x895,2011,893,gold
"University College London",https://ror.org/02jx3x895,2011,873,hybrid
"University College London",https://ror.org/02jx3x895,2012,6833,closed
"University College London",https://ror.org/02jx3x895,2012,2208,bronze
"University College London",https://ror.org/02jx3x895,2012,1581,green
"University College London",https://ror.org/02jx3x895,2012,1266,hybrid
"University College London",https://ror.org/02jx3x895,2012,1162,gold
"University College London",https://ror.org/02jx3x895,2013,7127,closed
"University College London",https://ror.org/02jx3x895,2013,2363,bronze
"University College London",https://ror.org/02jx3x895,2013,1880,green
"University College London",https://ror.org/02jx3x895,2013,1778,hybrid
"University College London",https://ror.org/02jx3x895,2013,1589,gold
"University College London",https://ror.org/02jx3x895,2014,6670,closed
"University College London",https://ror.org/02jx3x895,2014,2348,bronze
"University College London",https://ror.org/02jx3x895,2014,2326,hybrid
"University College London",https://ror.org/02jx3x895,2014,2113,green
"University College London",https://ror.org/02jx3x895,2014,1834,gold
"University College London",https://ror.org/02jx3x895,2015,6553,closed
"University College London",https://ror.org/02jx3x895,2015,2883,green
"University College London",https://ror.org/02jx3x895,2015,2611,bronze
"University College London",https://ror.org/02jx3x895,2015,2351,gold
"University College London",https://ror.org/02jx3x895,2015,2252,hybrid
"University College London",https://ror.org/02jx3x895,2016,5586,closed
"University College London",https://ror.org/02jx3x895,2016,4386,green
"University College London",https://ror.org/02jx3x895,2016,2790,gold
"University College London",https://ror.org/02jx3x895,2016,2788,bronze
"University College London",https://ror.org/02jx3x895,2016,2746,hybrid
"University College London",https://ror.org/02jx3x895,2017,5131,green
"University College London",https://ror.org/02jx3x895,2017,4892,closed
"University College London",https://ror.org/02jx3x895,2017,3265,gold
"University College London",https://ror.org/02jx3x895,2017,2845,bronze
"University College London",https://ror.org/02jx3x895,2017,2668,hybrid
"University College London",https://ror.org/02jx3x895,2018,5417,green
"University College London",https://ror.org/02jx3x895,2018,5231,closed
"University College London",https://ror.org/02jx3x895,2018,3520,gold
"University College London",https://ror.org/02jx3x895,2018,3246,hybrid
"University College London",https://ror.org/02jx3x895,2018,2771,bronze
"University College London",https://ror.org/02jx3x895,2019,6242,green
"University College London",https://ror.org/02jx3x895,2019,5382,closed
"University College London",https://ror.org/02jx3x895,2019,4128,gold
"University College London",https://ror.org/02jx3x895,2019,2929,hybrid
"University College London",https://ror.org/02jx3x895,2019,2856,bronze
"University College London",https://ror.org/02jx3x895,2020,7282,green
"University College London",https://ror.org/02jx3x895,2020,5093,gold
"University College London",https://ror.org/02jx3x895,2020,4966,closed
"University College London",https://ror.org/02jx3x895,2020,3689,hybrid
"University College London",https://ror.org/02jx3x895,2020,3211,bronze
"University College London",https://ror.org/02jx3x895,2021,7520,green
"University College London",https://ror.org/02jx3x895,2021,6408,gold
"University College London",https://ror.org/02jx3x895,2021,4992,closed
"University College London",https://ror.org/02jx3x895,2021,4471,hybrid
"University College London",https://ror.org/02jx3x895,2021,2820,bronze
"University College London",https://ror.org/02jx3x895,2022,6465,gold
"University College London",https://ror.org/02jx3x895,2022,6211,green
"University College London",https://ror.org/02jx3x895,2022,5172,closed
"University College London",https://ror.org/02jx3x895,2022,4805,hybrid
"University College London",https://ror.org/02jx3x895,2022,1954,bronze
"University College London",https://ror.org/02jx3x895,2023,6375,closed
"University College London",https://ror.org/02jx3x895,2023,6167,gold
"University College London",https://ror.org/02jx3x895,2023,5918,hybrid
"University College London",https://ror.org/02jx3x895,2023,3166,green
"University College London",https://ror.org/02jx3x895,2023,2888,bronze
"University of Oxford",https://ror.org/052gg0110,2000,3006,closed
"University of Oxford",https://ror.org/052gg0110,2000,658,bronze
"University of Oxford",https://ror.org/052gg0110,2000,524,green
"University of Oxford",https://ror.org/052gg0110,2000,179,hybrid
"University of Oxford",https://ror.org/052gg0110,2000,22,gold
"University of Oxford",https://ror.org/052gg0110,2001,3092,closed
"University of Oxford",https://ror.org/052gg0110,2001,649,bronze
"University of Oxford",https://ror.org/052gg0110,2001,550,green
"University of Oxford",https://ror.org/052gg0110,2001,162,hybrid
"University of Oxford",https://ror.org/052gg0110,2001,56,gold
"University of Oxford",https://ror.org/052gg0110,2002,3482,closed
"University of Oxford",https://ror.org/052gg0110,2002,812,bronze
"University of Oxford",https://ror.org/052gg0110,2002,645,green
"University of Oxford",https://ror.org/052gg0110,2002,184,hybrid
"University of Oxford",https://ror.org/052gg0110,2002,48,gold
"University of Oxford",https://ror.org/052gg0110,2003,3455,closed
"University of Oxford",https://ror.org/052gg0110,2003,792,bronze
"University of Oxford",https://ror.org/052gg0110,2003,703,green
"University of Oxford",https://ror.org/052gg0110,2003,177,hybrid
"University of Oxford",https://ror.org/052gg0110,2003,55,gold
"University of Oxford",https://ror.org/052gg0110,2004,3583,closed
"University of Oxford",https://ror.org/052gg0110,2004,991,bronze
"University of Oxford",https://ror.org/052gg0110,2004,768,green
"University of Oxford",https://ror.org/052gg0110,2004,254,hybrid
"University of Oxford",https://ror.org/052gg0110,2004,93,gold
"University of Oxford",https://ror.org/052gg0110,2005,4130,closed
"University of Oxford",https://ror.org/052gg0110,2005,1010,bronze
"University of Oxford",https://ror.org/052gg0110,2005,865,green
"University of Oxford",https://ror.org/052gg0110,2005,280,hybrid
"University of Oxford",https://ror.org/052gg0110,2005,152,gold
"University of Oxford",https://ror.org/052gg0110,2006,4377,closed
"University of Oxford",https://ror.org/052gg0110,2006,1060,bronze
"University of Oxford",https://ror.org/052gg0110,2006,1039,green
"University of Oxford",https://ror.org/052gg0110,2006,289,hybrid
"University of Oxford",https://ror.org/052gg0110,2006,214,gold
"University of Oxford",https://ror.org/052gg0110,2007,4444,closed
"University of Oxford",https://ror.org/052gg0110,2007,1165,green
"University of Oxford",https://ror.org/052gg0110,2007,1112,bronze
"University of Oxford",https://ror.org/052gg0110,2007,357,hybrid
"University of Oxford",https://ror.org/052gg0110,2007,277,gold
"University of Oxford",https://ror.org/052gg0110,2008,4852,closed
"University of Oxford",https://ror.org/052gg0110,2008,1291,green
"University of Oxford",https://ror.org/052gg0110,2008,1130,bronze
"University of Oxford",https://ror.org/052gg0110,2008,435,gold
"University of Oxford",https://ror.org/052gg0110,2008,413,hybrid
"University of Oxford",https://ror.org/052gg0110,2009,5193,closed
"University of Oxford",https://ror.org/052gg0110,2009,1526,green
"University of Oxford",https://ror.org/052gg0110,2009,1302,bronze
"University of Oxford",https://ror.org/052gg0110,2009,525,hybrid
"University of Oxford",https://ror.org/052gg0110,2009,521,gold
"University of Oxford",https://ror.org/052gg0110,2010,5417,closed
"University of Oxford",https://ror.org/052gg0110,2010,1660,green
"University of Oxford",https://ror.org/052gg0110,2010,1411,bronze
"University of Oxford",https://ror.org/052gg0110,2010,722,gold
"University of Oxford",https://ror.org/052gg0110,2010,613,hybrid
"University of Oxford",https://ror.org/052gg0110,2011,5562,closed
"University of Oxford",https://ror.org/052gg0110,2011,1662,green
"University of Oxford",https://ror.org/052gg0110,2011,1581,bronze
"University of Oxford",https://ror.org/052gg0110,2011,828,hybrid
"University of Oxford",https://ror.org/052gg0110,2011,804,gold
"University of Oxford",https://ror.org/052gg0110,2012,6117,closed
"University of Oxford",https://ror.org/052gg0110,2012,1699,green
"University of Oxford",https://ror.org/052gg0110,2012,1614,bronze
"University of Oxford",https://ror.org/052gg0110,2012,1104,gold
"University of Oxford",https://ror.org/052gg0110,2012,1077,hybrid
"University of Oxford",https://ror.org/052gg0110,2013,6149,closed
