institution, ror, year, count, oa status 
"University of Sydney",https://ror.org/0384j8v12,2000,2216,closed
"University of Sydney",https://ror.org/0384j8v12,2000,423,bronze
"University of Sydney",https://ror.org/0384j8v12,2000,139,green
"University of Sydney",https://ror.org/0384j8v12,2000,84,hybrid
"University of Sydney",https://ror.org/0384j8v12,2000,30,gold
"University of Sydney",https://ror.org/0384j8v12,2001,2321,closed
"University of Sydney",https://ror.org/0384j8v12,2001,443,bronze
"University of Sydney",https://ror.org/0384j8v12,2001,154,green
"University of Sydney",https://ror.org/0384j8v12,2001,92,hybrid
"University of Sydney",https://ror.org/0384j8v12,2001,49,gold
"University of Sydney",https://ror.org/0384j8v12,2002,2757,closed
"University of Sydney",https://ror.org/0384j8v12,2002,491,bronze
"University of Sydney",https://ror.org/0384j8v12,2002,192,green
"University of Sydney",https://ror.org/0384j8v12,2002,72,hybrid
"University of Sydney",https://ror.org/0384j8v12,2002,35,gold
"University of Sydney",https://ror.org/0384j8v12,2003,2850,closed
"University of Sydney",https://ror.org/0384j8v12,2003,518,bronze
"University of Sydney",https://ror.org/0384j8v12,2003,204,green
"University of Sydney",https://ror.org/0384j8v12,2003,117,hybrid
"University of Sydney",https://ror.org/0384j8v12,2003,66,gold
"University of Sydney",https://ror.org/0384j8v12,2004,3016,closed
"University of Sydney",https://ror.org/0384j8v12,2004,621,bronze
"University of Sydney",https://ror.org/0384j8v12,2004,252,green
"University of Sydney",https://ror.org/0384j8v12,2004,106,hybrid
"University of Sydney",https://ror.org/0384j8v12,2004,57,gold
"University of Sydney",https://ror.org/0384j8v12,2005,3454,closed
"University of Sydney",https://ror.org/0384j8v12,2005,606,bronze
"University of Sydney",https://ror.org/0384j8v12,2005,338,green
"University of Sydney",https://ror.org/0384j8v12,2005,117,hybrid
"University of Sydney",https://ror.org/0384j8v12,2005,89,gold
"University of Sydney",https://ror.org/0384j8v12,2006,3831,closed
"University of Sydney",https://ror.org/0384j8v12,2006,769,bronze
"University of Sydney",https://ror.org/0384j8v12,2006,488,green
"University of Sydney",https://ror.org/0384j8v12,2006,146,gold
"University of Sydney",https://ror.org/0384j8v12,2006,116,hybrid
"University of Sydney",https://ror.org/0384j8v12,2007,4317,closed
"University of Sydney",https://ror.org/0384j8v12,2007,742,bronze
"University of Sydney",https://ror.org/0384j8v12,2007,513,green
"University of Sydney",https://ror.org/0384j8v12,2007,171,hybrid
"University of Sydney",https://ror.org/0384j8v12,2007,164,gold
"University of Sydney",https://ror.org/0384j8v12,2008,4489,closed
"University of Sydney",https://ror.org/0384j8v12,2008,896,bronze
"University of Sydney",https://ror.org/0384j8v12,2008,569,green
"University of Sydney",https://ror.org/0384j8v12,2008,218,hybrid
"University of Sydney",https://ror.org/0384j8v12,2008,195,gold
"University of Sydney",https://ror.org/0384j8v12,2009,5022,closed
"University of Sydney",https://ror.org/0384j8v12,2009,884,bronze
"University of Sydney",https://ror.org/0384j8v12,2009,647,green
"University of Sydney",https://ror.org/0384j8v12,2009,286,gold
"University of Sydney",https://ror.org/0384j8v12,2009,255,hybrid
"University of Sydney",https://ror.org/0384j8v12,2010,5395,closed
"University of Sydney",https://ror.org/0384j8v12,2010,1018,bronze
"University of Sydney",https://ror.org/0384j8v12,2010,721,green
"University of Sydney",https://ror.org/0384j8v12,2010,431,gold
"University of Sydney",https://ror.org/0384j8v12,2010,254,hybrid
"University of Sydney",https://ror.org/0384j8v12,2011,5618,closed
"University of Sydney",https://ror.org/0384j8v12,2011,1188,bronze
"University of Sydney",https://ror.org/0384j8v12,2011,803,green
"University of Sydney",https://ror.org/0384j8v12,2011,558,gold
"University of Sydney",https://ror.org/0384j8v12,2011,350,hybrid
"University of Sydney",https://ror.org/0384j8v12,2012,5962,closed
"University of Sydney",https://ror.org/0384j8v12,2012,1285,bronze
"University of Sydney",https://ror.org/0384j8v12,2012,857,green
"University of Sydney",https://ror.org/0384j8v12,2012,740,gold
"University of Sydney",https://ror.org/0384j8v12,2012,405,hybrid
"University of Sydney",https://ror.org/0384j8v12,2013,6092,closed
"University of Sydney",https://ror.org/0384j8v12,2013,1331,bronze
"University of Sydney",https://ror.org/0384j8v12,2013,1093,gold
"University of Sydney",https://ror.org/0384j8v12,2013,1063,green
"University of Sydney",https://ror.org/0384j8v12,2013,496,hybrid
"University of Sydney",https://ror.org/0384j8v12,2014,6235,closed
"University of Sydney",https://ror.org/0384j8v12,2014,1474,bronze
"University of Sydney",https://ror.org/0384j8v12,2014,1224,gold
"University of Sydney",https://ror.org/0384j8v12,2014,1089,green
"University of Sydney",https://ror.org/0384j8v12,2014,518,hybrid
"University of Sydney",https://ror.org/0384j8v12,2015,6146,closed
"University of Sydney",https://ror.org/0384j8v12,2015,1684,bronze
"University of Sydney",https://ror.org/0384j8v12,2015,1443,gold
"University of Sydney",https://ror.org/0384j8v12,2015,1144,green
"University of Sydney",https://ror.org/0384j8v12,2015,581,hybrid
"University of Sydney",https://ror.org/0384j8v12,2016,6275,closed
"University of Sydney",https://ror.org/0384j8v12,2016,1699,bronze
"University of Sydney",https://ror.org/0384j8v12,2016,1631,gold
"University of Sydney",https://ror.org/0384j8v12,2016,1373,green
"University of Sydney",https://ror.org/0384j8v12,2016,716,hybrid
"University of Sydney",https://ror.org/0384j8v12,2017,6336,closed
"University of Sydney",https://ror.org/0384j8v12,2017,1949,gold
"University of Sydney",https://ror.org/0384j8v12,2017,1697,green
"University of Sydney",https://ror.org/0384j8v12,2017,1682,bronze
"University of Sydney",https://ror.org/0384j8v12,2017,706,hybrid
"University of Sydney",https://ror.org/0384j8v12,2018,6429,closed
"University of Sydney",https://ror.org/0384j8v12,2018,2142,gold
"University of Sydney",https://ror.org/0384j8v12,2018,1905,bronze
"University of Sydney",https://ror.org/0384j8v12,2018,1844,green
"University of Sydney",https://ror.org/0384j8v12,2018,804,hybrid
"University of Sydney",https://ror.org/0384j8v12,2019,6916,closed
"University of Sydney",https://ror.org/0384j8v12,2019,2679,gold
"University of Sydney",https://ror.org/0384j8v12,2019,2232,green
"University of Sydney",https://ror.org/0384j8v12,2019,1739,bronze
"University of Sydney",https://ror.org/0384j8v12,2019,879,hybrid
"University of Sydney",https://ror.org/0384j8v12,2020,6771,closed
"University of Sydney",https://ror.org/0384j8v12,2020,3134,gold
"University of Sydney",https://ror.org/0384j8v12,2020,2719,green
"University of Sydney",https://ror.org/0384j8v12,2020,1931,bronze
"University of Sydney",https://ror.org/0384j8v12,2020,1050,hybrid
"University of Sydney",https://ror.org/0384j8v12,2021,6558,closed
"University of Sydney",https://ror.org/0384j8v12,2021,3720,gold
"University of Sydney",https://ror.org/0384j8v12,2021,2649,green
"University of Sydney",https://ror.org/0384j8v12,2021,1701,bronze
"University of Sydney",https://ror.org/0384j8v12,2021,1253,hybrid
"University of Sydney",https://ror.org/0384j8v12,2022,5485,closed
"University of Sydney",https://ror.org/0384j8v12,2022,3807,gold
"University of Sydney",https://ror.org/0384j8v12,2022,2290,hybrid
"University of Sydney",https://ror.org/0384j8v12,2022,2201,green
"University of Sydney",https://ror.org/0384j8v12,2022,1048,bronze
"University of Sydney",https://ror.org/0384j8v12,2023,5772,closed
"University of Sydney",https://ror.org/0384j8v12,2023,3442,gold
"University of Sydney",https://ror.org/0384j8v12,2023,3402,hybrid
"University of Sydney",https://ror.org/0384j8v12,2023,1547,bronze
"University of Sydney",https://ror.org/0384j8v12,2023,1161,green
"University of Melbourne",https://ror.org/01ej9dk98,2000,2062,closed
"University of Melbourne",https://ror.org/01ej9dk98,2000,329,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2000,198,green
"University of Melbourne",https://ror.org/01ej9dk98,2000,53,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2000,26,gold
"University of Melbourne",https://ror.org/01ej9dk98,2001,2216,closed
"University of Melbourne",https://ror.org/01ej9dk98,2001,349,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2001,197,green
"University of Melbourne",https://ror.org/01ej9dk98,2001,92,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2001,40,gold
"University of Melbourne",https://ror.org/01ej9dk98,2002,3085,closed
"University of Melbourne",https://ror.org/01ej9dk98,2002,460,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2002,249,green
"University of Melbourne",https://ror.org/01ej9dk98,2002,72,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2002,39,gold
"University of Melbourne",https://ror.org/01ej9dk98,2003,2775,closed
"University of Melbourne",https://ror.org/01ej9dk98,2003,493,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2003,262,green
"University of Melbourne",https://ror.org/01ej9dk98,2003,85,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2003,45,gold
"University of Melbourne",https://ror.org/01ej9dk98,2004,2837,closed
"University of Melbourne",https://ror.org/01ej9dk98,2004,549,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2004,353,green
"University of Melbourne",https://ror.org/01ej9dk98,2004,87,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2004,79,gold
"University of Melbourne",https://ror.org/01ej9dk98,2005,3301,closed
"University of Melbourne",https://ror.org/01ej9dk98,2005,613,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2005,430,green
"University of Melbourne",https://ror.org/01ej9dk98,2005,93,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2005,67,gold
"University of Melbourne",https://ror.org/01ej9dk98,2006,3707,closed
"University of Melbourne",https://ror.org/01ej9dk98,2006,736,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2006,556,green
"University of Melbourne",https://ror.org/01ej9dk98,2006,128,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2006,113,gold
"University of Melbourne",https://ror.org/01ej9dk98,2007,4096,closed
"University of Melbourne",https://ror.org/01ej9dk98,2007,727,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2007,582,green
"University of Melbourne",https://ror.org/01ej9dk98,2007,186,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2007,150,gold
"University of Melbourne",https://ror.org/01ej9dk98,2008,4255,closed
"University of Melbourne",https://ror.org/01ej9dk98,2008,880,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2008,622,green
"University of Melbourne",https://ror.org/01ej9dk98,2008,250,gold
"University of Melbourne",https://ror.org/01ej9dk98,2008,190,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2009,4832,closed
"University of Melbourne",https://ror.org/01ej9dk98,2009,896,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2009,684,green
"University of Melbourne",https://ror.org/01ej9dk98,2009,292,gold
"University of Melbourne",https://ror.org/01ej9dk98,2009,222,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2010,4796,closed
"University of Melbourne",https://ror.org/01ej9dk98,2010,910,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2010,694,green
"University of Melbourne",https://ror.org/01ej9dk98,2010,417,gold
"University of Melbourne",https://ror.org/01ej9dk98,2010,266,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2011,4973,closed
"University of Melbourne",https://ror.org/01ej9dk98,2011,1226,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2011,843,green
"University of Melbourne",https://ror.org/01ej9dk98,2011,591,gold
"University of Melbourne",https://ror.org/01ej9dk98,2011,331,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2012,4989,closed
"University of Melbourne",https://ror.org/01ej9dk98,2012,1130,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2012,1034,green
"University of Melbourne",https://ror.org/01ej9dk98,2012,844,gold
"University of Melbourne",https://ror.org/01ej9dk98,2012,436,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2013,5204,closed
"University of Melbourne",https://ror.org/01ej9dk98,2013,1372,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2013,1342,green
"University of Melbourne",https://ror.org/01ej9dk98,2013,1060,gold
"University of Melbourne",https://ror.org/01ej9dk98,2013,420,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2014,5471,closed
"University of Melbourne",https://ror.org/01ej9dk98,2014,1437,green
"University of Melbourne",https://ror.org/01ej9dk98,2014,1436,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2014,1232,gold
"University of Melbourne",https://ror.org/01ej9dk98,2014,567,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2015,5523,closed
"University of Melbourne",https://ror.org/01ej9dk98,2015,1737,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2015,1466,gold
"University of Melbourne",https://ror.org/01ej9dk98,2015,1411,green
"University of Melbourne",https://ror.org/01ej9dk98,2015,628,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2016,5299,closed
"University of Melbourne",https://ror.org/01ej9dk98,2016,2045,green
"University of Melbourne",https://ror.org/01ej9dk98,2016,1711,gold
"University of Melbourne",https://ror.org/01ej9dk98,2016,1573,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2016,770,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2017,5381,closed
"University of Melbourne",https://ror.org/01ej9dk98,2017,2384,green
"University of Melbourne",https://ror.org/01ej9dk98,2017,1976,gold
"University of Melbourne",https://ror.org/01ej9dk98,2017,1763,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2017,803,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2018,5588,closed
"University of Melbourne",https://ror.org/01ej9dk98,2018,2512,green
"University of Melbourne",https://ror.org/01ej9dk98,2018,2262,gold
"University of Melbourne",https://ror.org/01ej9dk98,2018,1790,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2018,949,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2019,6071,closed
"University of Melbourne",https://ror.org/01ej9dk98,2019,3043,green
"University of Melbourne",https://ror.org/01ej9dk98,2019,2826,gold
"University of Melbourne",https://ror.org/01ej9dk98,2019,1863,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2019,1074,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2020,5700,closed
"University of Melbourne",https://ror.org/01ej9dk98,2020,3835,green
"University of Melbourne",https://ror.org/01ej9dk98,2020,3374,gold
"University of Melbourne",https://ror.org/01ej9dk98,2020,1889,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2020,1291,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2021,5975,closed
"University of Melbourne",https://ror.org/01ej9dk98,2021,4080,gold
"University of Melbourne",https://ror.org/01ej9dk98,2021,3574,green
"University of Melbourne",https://ror.org/01ej9dk98,2021,1826,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2021,1496,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2022,5519,closed
"University of Melbourne",https://ror.org/01ej9dk98,2022,4396,gold
"University of Melbourne",https://ror.org/01ej9dk98,2022,2536,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2022,2488,green
"University of Melbourne",https://ror.org/01ej9dk98,2022,1075,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2023,4864,closed
"University of Melbourne",https://ror.org/01ej9dk98,2023,3998,gold
"University of Melbourne",https://ror.org/01ej9dk98,2023,3883,hybrid
"University of Melbourne",https://ror.org/01ej9dk98,2023,1563,bronze
"University of Melbourne",https://ror.org/01ej9dk98,2023,1368,green
"University of Queensland",https://ror.org/00rqy9422,2000,1920,closed
"University of Queensland",https://ror.org/00rqy9422,2000,302,bronze
"University of Queensland",https://ror.org/00rqy9422,2000,162,green
"University of Queensland",https://ror.org/00rqy9422,2000,63,hybrid
"University of Queensland",https://ror.org/00rqy9422,2000,24,gold
"University of Queensland",https://ror.org/00rqy9422,2001,1924,closed
"University of Queensland",https://ror.org/00rqy9422,2001,263,bronze
"University of Queensland",https://ror.org/00rqy9422,2001,208,green
"University of Queensland",https://ror.org/00rqy9422,2001,86,hybrid
"University of Queensland",https://ror.org/00rqy9422,2001,26,gold
