institution, ror, year, count, oa status 
University of Auckland,https://ror.org/03b94tp07,2000,1008,closed
University of Auckland,https://ror.org/03b94tp07,2000,152,bronze
University of Auckland,https://ror.org/03b94tp07,2000,70,green
University of Auckland,https://ror.org/03b94tp07,2000,27,hybrid
University of Auckland,https://ror.org/03b94tp07,2000,22,gold
University of Auckland,https://ror.org/03b94tp07,2001,1115,closed
University of Auckland,https://ror.org/03b94tp07,2001,161,bronze
University of Auckland,https://ror.org/03b94tp07,2001,78,green
University of Auckland,https://ror.org/03b94tp07,2001,32,gold
University of Auckland,https://ror.org/03b94tp07,2001,29,hybrid
University of Auckland,https://ror.org/03b94tp07,2002,1338,closed
University of Auckland,https://ror.org/03b94tp07,2002,179,bronze
University of Auckland,https://ror.org/03b94tp07,2002,97,green
University of Auckland,https://ror.org/03b94tp07,2002,37,hybrid
University of Auckland,https://ror.org/03b94tp07,2002,20,gold
University of Auckland,https://ror.org/03b94tp07,2003,1282,closed
University of Auckland,https://ror.org/03b94tp07,2003,205,bronze
University of Auckland,https://ror.org/03b94tp07,2003,92,green
University of Auckland,https://ror.org/03b94tp07,2003,29,hybrid
University of Auckland,https://ror.org/03b94tp07,2003,13,gold
University of Auckland,https://ror.org/03b94tp07,2004,1339,closed
University of Auckland,https://ror.org/03b94tp07,2004,198,bronze
University of Auckland,https://ror.org/03b94tp07,2004,100,green
University of Auckland,https://ror.org/03b94tp07,2004,48,hybrid
University of Auckland,https://ror.org/03b94tp07,2004,28,gold
University of Auckland,https://ror.org/03b94tp07,2005,1473,closed
University of Auckland,https://ror.org/03b94tp07,2005,249,bronze
University of Auckland,https://ror.org/03b94tp07,2005,139,green
University of Auckland,https://ror.org/03b94tp07,2005,62,hybrid
University of Auckland,https://ror.org/03b94tp07,2005,29,gold
University of Auckland,https://ror.org/03b94tp07,2006,1764,closed
University of Auckland,https://ror.org/03b94tp07,2006,257,bronze
University of Auckland,https://ror.org/03b94tp07,2006,166,green
University of Auckland,https://ror.org/03b94tp07,2006,55,hybrid
University of Auckland,https://ror.org/03b94tp07,2006,37,gold
University of Auckland,https://ror.org/03b94tp07,2007,1847,closed
University of Auckland,https://ror.org/03b94tp07,2007,297,bronze
University of Auckland,https://ror.org/03b94tp07,2007,211,green
University of Auckland,https://ror.org/03b94tp07,2007,68,hybrid
University of Auckland,https://ror.org/03b94tp07,2007,54,gold
University of Auckland,https://ror.org/03b94tp07,2008,1965,closed
University of Auckland,https://ror.org/03b94tp07,2008,327,bronze
University of Auckland,https://ror.org/03b94tp07,2008,212,green
University of Auckland,https://ror.org/03b94tp07,2008,95,gold
University of Auckland,https://ror.org/03b94tp07,2008,68,hybrid
University of Auckland,https://ror.org/03b94tp07,2009,2112,closed
University of Auckland,https://ror.org/03b94tp07,2009,359,bronze
University of Auckland,https://ror.org/03b94tp07,2009,260,green
University of Auckland,https://ror.org/03b94tp07,2009,131,gold
University of Auckland,https://ror.org/03b94tp07,2009,94,hybrid
University of Auckland,https://ror.org/03b94tp07,2010,2262,closed
University of Auckland,https://ror.org/03b94tp07,2010,348,bronze
University of Auckland,https://ror.org/03b94tp07,2010,285,green
University of Auckland,https://ror.org/03b94tp07,2010,182,gold
University of Auckland,https://ror.org/03b94tp07,2010,117,hybrid
University of Auckland,https://ror.org/03b94tp07,2011,2771,closed
University of Auckland,https://ror.org/03b94tp07,2011,367,bronze
University of Auckland,https://ror.org/03b94tp07,2011,285,green
University of Auckland,https://ror.org/03b94tp07,2011,241,gold
University of Auckland,https://ror.org/03b94tp07,2011,111,hybrid
University of Auckland,https://ror.org/03b94tp07,2012,2639,closed
University of Auckland,https://ror.org/03b94tp07,2012,410,bronze
University of Auckland,https://ror.org/03b94tp07,2012,323,gold
University of Auckland,https://ror.org/03b94tp07,2012,308,green
University of Auckland,https://ror.org/03b94tp07,2012,140,hybrid
University of Auckland,https://ror.org/03b94tp07,2013,2821,closed
University of Auckland,https://ror.org/03b94tp07,2013,480,bronze
University of Auckland,https://ror.org/03b94tp07,2013,417,gold
University of Auckland,https://ror.org/03b94tp07,2013,372,green
University of Auckland,https://ror.org/03b94tp07,2013,168,hybrid
University of Auckland,https://ror.org/03b94tp07,2014,2968,closed
University of Auckland,https://ror.org/03b94tp07,2014,526,bronze
University of Auckland,https://ror.org/03b94tp07,2014,492,gold
University of Auckland,https://ror.org/03b94tp07,2014,402,green
University of Auckland,https://ror.org/03b94tp07,2014,177,hybrid
University of Auckland,https://ror.org/03b94tp07,2015,2935,closed
University of Auckland,https://ror.org/03b94tp07,2015,576,bronze
University of Auckland,https://ror.org/03b94tp07,2015,567,gold
University of Auckland,https://ror.org/03b94tp07,2015,405,green
University of Auckland,https://ror.org/03b94tp07,2015,222,hybrid
University of Auckland,https://ror.org/03b94tp07,2016,3093,closed
University of Auckland,https://ror.org/03b94tp07,2016,638,bronze
University of Auckland,https://ror.org/03b94tp07,2016,636,gold
University of Auckland,https://ror.org/03b94tp07,2016,461,green
University of Auckland,https://ror.org/03b94tp07,2016,294,hybrid
University of Auckland,https://ror.org/03b94tp07,2017,2998,closed
University of Auckland,https://ror.org/03b94tp07,2017,723,gold
University of Auckland,https://ror.org/03b94tp07,2017,598,bronze
University of Auckland,https://ror.org/03b94tp07,2017,572,green
University of Auckland,https://ror.org/03b94tp07,2017,305,hybrid
University of Auckland,https://ror.org/03b94tp07,2018,2936,closed
University of Auckland,https://ror.org/03b94tp07,2018,810,gold
University of Auckland,https://ror.org/03b94tp07,2018,687,green
University of Auckland,https://ror.org/03b94tp07,2018,645,bronze
University of Auckland,https://ror.org/03b94tp07,2018,283,hybrid
University of Auckland,https://ror.org/03b94tp07,2019,3311,closed
University of Auckland,https://ror.org/03b94tp07,2019,1045,gold
University of Auckland,https://ror.org/03b94tp07,2019,712,green
University of Auckland,https://ror.org/03b94tp07,2019,596,bronze
University of Auckland,https://ror.org/03b94tp07,2019,315,hybrid
University of Auckland,https://ror.org/03b94tp07,2020,3321,closed
University of Auckland,https://ror.org/03b94tp07,2020,1209,gold
University of Auckland,https://ror.org/03b94tp07,2020,894,green
University of Auckland,https://ror.org/03b94tp07,2020,600,bronze
University of Auckland,https://ror.org/03b94tp07,2020,448,hybrid
University of Auckland,https://ror.org/03b94tp07,2021,3236,closed
University of Auckland,https://ror.org/03b94tp07,2021,1492,gold
